Adapter-Driver,Good Sum,Critical Sum,Warning Sum,Client Count,Total Sum,Adapter,Driver,Good Roaming Calculation (%)
Intel(R) Wi-Fi 6E AX210 160MHz - 22.150.0.3,86352,246,456,82,87054,Intel(R) Wi-Fi 6E AX210 160MHz,22.150.0.3,99.2
MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter - 3.0.1.1317,50022,241,160,424,50423,MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter,3.0.1.1317,99.2
Intel(R) Dual Band Wireless-AC 7265 - 19.51.31.1,110104,898,3,109,111005,Intel(R) Dual Band Wireless-AC 7265,19.51.31.1,99.2
Intel(R) Dual Band Wireless-AC 8265 - 20.70.16.4,285693,1276,1028,375,287997,Intel(R) Dual Band Wireless-AC 8265,20.70.16.4,99.2
Intel(R) Wi-Fi 6E AX211 160MHz - 23.60.1.2,33331843,139379,121512,70729,33592734,Intel(R) Wi-Fi 6E AX211 160MHz,23.60.1.2,99.2
Intel(R) Wi-Fi 6 AX201 160MHz - 21.110.1.1,5310975,23773,16739,8477,5351487,Intel(R) Wi-Fi 6 AX201 160MHz,21.110.1.1,99.2
Intel(R) Wi-Fi 6E AX210 160MHz - 23.60.1.2,794702,3167,3292,1360,801161,Intel(R) Wi-Fi 6E AX210 160MHz,23.60.1.2,99.2
Intel(R) Wi-Fi 6 AX201 160MHz - 22.180.0.4,472411,1590,2267,621,476268,Intel(R) Wi-Fi 6 AX201 160MHz,22.180.0.4,99.2
Intel(R) Wi-Fi 6E AX211 160MHz - 22.240.0.6,578672,3667,684,1098,583023,Intel(R) Wi-Fi 6E AX211 160MHz,22.240.0.6,99.3
Intel(R) Wi-Fi 6E AX211 160MHz - 23.80.0.7,2146450,6457,8848,3970,2161755,Intel(R) Wi-Fi 6E AX211 160MHz,23.80.0.7,99.3
Intel(R) Wi-Fi 6E AX211 160MHz - 23.90.1.3,1508532,4024,7079,2382,1519635,Intel(R) Wi-Fi 6E AX211 160MHz,23.90.1.3,99.3
Intel(R) Wi-Fi 6 AX200 160MHz - 22.70.0.6,142157,966,44,269,143167,Intel(R) Wi-Fi 6 AX200 160MHz,22.70.0.6,99.3
Intel(R) Wi-Fi 6 AX201 160MHz - 22.70.0.6,449325,954,1991,876,452270,Intel(R) Wi-Fi 6 AX201 160MHz,22.70.0.6,99.3
Intel(R) Wi-Fi 6 AX201 160MHz - 22.200.0.6,345778,1860,722,542,348360,Intel(R) Wi-Fi 6 AX201 160MHz,22.200.0.6,99.3
Intel(R) Wi-Fi 6 AX201 160MHz - 22.30.0.11,1046920,4326,2688,2411,1053934,Intel(R) Wi-Fi 6 AX201 160MHz,22.30.0.11,99.3
Intel(R) Wi-Fi 6 AX201 160MHz - 23.120.0.3,578246,3972,134,1009,582352,Intel(R) Wi-Fi 6 AX201 160MHz,23.120.0.3,99.3
Intel(R) Wi-Fi 6 AX201 160MHz - 23.90.0.2,20871914,109441,35931,28938,21017286,Intel(R) Wi-Fi 6 AX201 160MHz,23.90.0.2,99.3
